瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%),利汲(cm)
192,柳林,2021-01-01 12:00,1.9,,1.9,54,
192,柳林,2021-01-01 13:00,2.7,,1.9,55,
192,柳林,2021-01-01 14:00,4.5,,2.6,49,
192,柳林,2021-01-01 15:00,4,,2.8,47,
192,柳林,2021-01-01 16:00,4.1,,3.5,44,
192,柳林,2021-01-01 17:00,3,,2.6,48,
192,柳林,2021-01-01 18:00,2.2,,2.9,49,
192,柳林,2021-01-01 19:00,1.6,,2.6,54,
192,柳林,2021-01-01 20:00,1.1,,1.3,59,
192,柳林,2021-01-01 21:00,-2.5,,.8,72,
192,柳林,2021-01-01 22:00,-3.1,,.6,75,
192,柳林,2021-01-01 23:00,-4,,0,80,
192,柳林,2021-01-02 00:00,-4.2,,.9,80,
192,柳林,2021-01-02 01:00,-4.1,,.8,80,
192,柳林,2021-01-02 02:00,-3.8,,.2,81,
192,柳林,2021-01-02 03:00,-3.3,,.5,79,
192,柳林,2021-01-02 04:00,-3.3,,.9,82,
192,柳林,2021-01-02 05:00,-3.3,,.1,80,
192,柳林,2021-01-02 06:00,-3.3,,.6,81,
192,柳林,2021-01-02 07:00,-4.1,,.2,85,
192,柳林,2021-01-02 08:00,-4,,.1,86,
192,柳林,2021-01-02 09:00,-2.1,,.2,83,
192,柳林,2021-01-02 10:00,.4,,.4,72,
192,柳林,2021-01-02 11:00,2,,.7,65,
192,柳林,2021-01-02 12:00,3.2,,1.3,57,
192,柳林,2021-01-02 13:00,4.5,,1.1,52,
192,柳林,2021-01-02 14:00,5.4,,1.4,38,
192,柳林,2021-01-02 15:00,4.8,,2.7,35,
192,柳林,2021-01-02 16:00,3.9,,2.7,32,
192,柳林,2021-01-02 17:00,2.5,,2.4,31,
192,柳林,2021-01-02 18:00,1.5,,2.4,30,
192,柳林,2021-01-02 19:00,.4,,1.8,33,
192,柳林,2021-01-02 20:00,.1,,2.5,35,
192,柳林,2021-01-02 21:00,-.7,,2,38,
192,柳林,2021-01-02 22:00,-.9,,1.9,38,
192,柳林,2021-01-02 23:00,-1.2,,1.5,38,
192,柳林,2021-01-03 00:00,-3.1,,.7,49,
192,柳林,2021-01-03 01:00,-4.1,,.5,60,
192,柳林,2021-01-03 02:00,-4.7,,.5,65,
192,柳林,2021-01-03 03:00,-4.6,,.2,64,
192,柳林,2021-01-03 04:00,-4.7,,.4,62,
192,柳林,2021-01-03 05:00,-4.2,,.2,59,
192,柳林,2021-01-03 06:00,-2.1,,1.2,44,
192,柳林,2021-01-03 07:00,-1.5,,1,36,
192,柳林,2021-01-03 08:00,-1.8,,1.4,36,
192,柳林,2021-01-03 09:00,-1.3,,1.8,34,
192,柳林,2021-01-03 10:00,.2,,1.3,35,
192,柳林,2021-01-03 11:00,1.4,,.7,34,
192,柳林,2021-01-03 12:00,2.5,,1.3,34,
192,柳林,2021-01-03 13:00,3.8,,1.1,32,
192,柳林,2021-01-03 14:00,4.9,,1.1,30,
192,柳林,2021-01-03 15:00,5.4,,3.4,24,
192,柳林,2021-01-03 16:00,4.5,,2.6,28,
192,柳林,2021-01-03 17:00,3.7,,1.3,29,
192,柳林,2021-01-03 18:00,3,,1.4,31,
192,柳林,2021-01-03 19:00,2.2,,.4,33,
192,柳林,2021-01-03 20:00,1.2,,1.1,36,
192,柳林,2021-01-03 21:00,.6,,.6,38,
192,柳林,2021-01-03 22:00,-1.8,,0,49,
192,柳林,2021-01-03 23:00,-2.3,,0,53,
192,柳林,2021-01-04 00:00,-3,,0,58,
192,柳林,2021-01-04 01:00,-3.5,,0,60,
192,柳林,2021-01-04 02:00,-4.4,,0,64,
192,柳林,2021-01-04 03:00,-5.4,,.1,70,
192,柳林,2021-01-04 04:00,-6.4,,0,75,
192,柳林,2021-01-04 05:00,-6.7,,.2,77,
192,柳林,2021-01-04 06:00,-7.2,,.3,77,
192,柳林,2021-01-04 07:00,-7.5,,.4,79,
192,柳林,2021-01-04 08:00,-7.1,,.2,78,
192,柳林,2021-01-04 09:00,-4.7,,0,70,
192,柳林,2021-01-04 10:00,-.9,,.2,57,
192,柳林,2021-01-04 11:00,.9,,1.5,46,
192,柳林,2021-01-04 12:00,2.7,,1.6,41,
192,柳林,2021-01-04 13:00,4.8,,.7,36,
192,柳林,2021-01-04 14:00,6.1,,.9,34,
192,柳林,2021-01-04 15:00,7,,.9,34,
192,柳林,2021-01-04 16:00,6.7,,.2,31,
192,柳林,2021-01-04 17:00,4.5,,.4,44,
192,柳林,2021-01-04 18:00,1.3,,0,53,
192,柳林,2021-01-04 19:00,-.5,,.1,59,
192,柳林,2021-01-04 20:00,-1.7,,.3,65,
192,柳林,2021-01-04 21:00,-2.3,,.1,67,
192,柳林,2021-01-04 22:00,-2.6,,.3,68,
192,柳林,2021-01-04 23:00,-2.8,,.3,69,
192,柳林,2021-01-05 00:00,-3.2,,.2,72,
192,柳林,2021-01-05 01:00,-3,,.2,72,
192,柳林,2021-01-05 02:00,-2.8,,.3,73,
192,柳林,2021-01-05 03:00,-3.3,,.2,74,
192,柳林,2021-01-05 04:00,-3.3,,.3,75,
192,柳林,2021-01-05 05:00,-3.8,,.2,78,
192,柳林,2021-01-05 06:00,-4.6,,.3,80,
192,柳林,2021-01-05 07:00,-5.1,,.2,83,
192,柳林,2021-01-05 08:00,-4.8,,.3,84,
192,柳林,2021-01-05 09:00,-2.6,,.2,78,
192,柳林,2021-01-05 10:00,1.5,,.3,71,
192,柳林,2021-01-05 11:00,5.2,,1,44,
192,柳林,2021-01-05 12:00,6.1,,2.3,31,
192,柳林,2021-01-05 13:00,5.4,,3.4,28,
192,柳林,2021-01-05 14:00,4.8,,2.1,29,
192,柳林,2021-01-05 15:00,4.1,,2.7,35,
192,柳林,2021-01-05 16:00,3.5,,2.6,34,
192,柳林,2021-01-05 17:00,2.7,,2.6,35,
192,柳林,2021-01-05 18:00,1.7,,2.3,36,
192,柳林,2021-01-05 19:00,.8,,1.5,33,
192,柳林,2021-01-05 20:00,.2,,2.1,33,
192,柳林,2021-01-05 21:00,-.9,,1.3,36,
192,柳林,2021-01-05 22:00,-1.8,,1.8,38,
192,柳林,2021-01-05 23:00,-2.5,,1.4,42,
192,柳林,2021-01-06 00:00,-3.5,,.6,45,
192,柳林,2021-01-06 01:00,-4,,.9,44,
192,柳林,2021-01-06 02:00,-4.9,,.9,47,
192,柳林,2021-01-06 03:00,-5,,.8,41,
192,柳林,2021-01-06 04:00,-5.5,,1.1,40,
192,柳林,2021-01-06 05:00,-7.1,,.5,48,
192,柳林,2021-01-06 06:00,-7.3,,.6,52,
