일자,중식계,석식계
2021-01-27,1017.43,368.26
2021-01-28,1032.38,461.74
2021-01-29,582.99,252.26
2021-02-01,1235.86,575.05
2021-02-02,1013.34,607.43
2021-02-03,1044.64,446.52
2021-02-04,1023.0,575.015
2021-02-05,684.52,246.41
2021-02-08,1209.96,665.94
2021-02-09,1004.13,586.27
2021-02-10,884.31,218.54
2021-02-15,1233.48,724.28
2021-02-16,1126.8,736.51
2021-02-17,980.14,379.0
2021-02-18,893.47,603.25
2021-02-19,683.5,316.24
2021-02-22,1313.33,738.99
2021-02-23,1090.26,717.33
2021-02-24,905.5,374.91
2021-02-25,982.88,607.21
2021-02-26,630.5,302.18
2021-03-02,1065.01,710.34
2021-03-03,989.61,421.12
2021-03-04,974.6,625.3
2021-03-05,686.23,347.56
2021-03-08,1289.56,747.49
2021-03-09,1189.77,756.41
2021-03-10,1006.56,435.71
2021-03-11,967.375,629.62
2021-03-12,737.6,383.36
2021-03-15,1228.56,738.69
2021-03-16,1009.88,658.34
2021-03-17,995.05,384.72
2021-03-18,931.3,534.425
2021-03-19,688.88,292.47
2021-03-22,1211.19,661.02
2021-03-23,1038.16,673.91
2021-03-24,951.295,301.1
2021-03-25,950.85,530.97
2021-03-26,649.32,340.24
2021-03-29,1174.22,653.2
2021-03-30,1035.95,663.59
2021-03-31,1015.06,506.34
2021-04-01,887.94,530.71
2021-04-02,664.44,320.91
2021-04-05,1186.47,603.08
2021-04-06,1015.44,598.13
2021-04-07,971.23,467.53
2021-04-08,907.44,524.39
2021-04-09,660.38,329.86
